crop,planting_date,days_since_planting,growth_stage,season,county,soil_type,temperature,rainfall_mm,pest_pressure,disease_occurrence,next_practice,days_until_practice,priority
wheat,2025-07-29,91,fruiting,long_rains,Meru,peaty,22.0,130.9,low,high,disease_management,0,high
wheat,2025-07-11,109,fruiting,long_rains,Nakuru,silty,20.7,170.7,high,medium,pest_control,0,high
maize,2025-10-06,22,seedling,long_rains,Nairobi,clay,24.8,191.3,none,medium,disease_management,0,high
tomatoes,2025-09-26,32,vegetative,long_rains,Kiambu,silty,26.6,131.7,low,low,fertilizer_application,0,high
beans,2025-08-29,60,flowering,long_rains,Machakos,peaty,19.4,108.5,none,medium,disease_management,0,high
tomatoes,2025-07-22,98,mature,long_rains,Nakuru,chalky,28.7,104.5,medium,none,pest_control,0,high
maize,2025-07-30,90,fruiting,long_rains,Kisumu,peaty,26.7,81.3,medium,high,pest_control,0,high
potatoes,2025-08-11,78,fruiting,short_rains,Kisumu,chalky,20.6,114.9,none,high,disease_management,0,high
kale,2025-10-28,0,seedling,dry_season,Kisumu,chalky,15.3,43.7,high,high,pest_control,0,high
tomatoes,2025-07-30,90,mature,long_rains,Eldoret,silty,26.3,193.9,medium,low,pest_control,0,high
cabbage,2025-09-28,30,vegetative,short_rains,Kisumu,sandy,21.3,199.4,high,medium,pest_control,0,high
kale,2025-09-19,39,flowering,dry_season,Eldoret,clay,22.3,13.7,low,low,pest_control,3,medium
beans,2025-07-06,114,mature,long_rains,Nairobi,loamy,20.3,113.7,none,none,harvesting,0,high
tomatoes,2025-10-25,3,seedling,long_rains,Kiambu,sandy,20.5,186.8,low,low,planting,0,high
maize,2025-08-26,63,flowering,long_rains,Nakuru,sandy,26.5,149.8,none,none,fertilizer_application,0,high
potatoes,2025-07-20,100,mature,short_rains,Nairobi,chalky,16.5,169.2,medium,high,pest_control,0,high
wheat,2025-07-04,116,fruiting,long_rains,Kisumu,chalky,18.4,100.0,none,high,disease_management,0,high
beans,2025-10-20,8,seedling,long_rains,Meru,loamy,21.8,151.5,high,none,pest_control,0,high
potatoes,2025-10-21,7,seedling,short_rains,Kiambu,chalky,14.4,167.1,high,medium,pest_control,0,high
kale,2025-07-31,89,mature,short_rains,Nakuru,loamy,23.2,96.5,low,high,disease_management,0,high
potatoes,2025-06-28,122,mature,short_rains,Kiambu,sandy,21.1,139.9,medium,none,pest_control,0,high
cabbage,2025-08-11,78,mature,short_rains,Machakos,loamy,17.2,140.6,high,high,pest_control,0,high
tomatoes,2025-07-18,102,mature,long_rains,Nairobi,loamy,22.5,151.3,none,none,harvesting,0,high
kale,2025-08-17,72,mature,short_rains,Nairobi,chalky,15.8,51.4,none,low,harvesting,0,high
cabbage,2025-09-08,50,fruiting,short_rains,Eldoret,peaty,22.0,178.1,medium,high,pest_control,0,high
maize,2025-07-10,110,fruiting,short_rains,Kisumu,chalky,24.4,66.9,medium,low,pest_control,0,high
tomatoes,2025-10-26,2,seedling,long_rains,Machakos,sandy,23.6,71.0,high,none,pest_control,0,high
kale,2025-08-28,61,mature,dry_season,Machakos,peaty,19.4,29.5,none,none,harvesting,0,high
tomatoes,2025-08-27,62,fruiting,long_rains,Kisumu,sandy,27.2,64.8,medium,low,pest_control,0,high
beans,2025-09-14,44,vegetative,long_rains,Nakuru,clay,21.6,153.1,high,low,pest_control,0,high
beans,2025-10-11,17,seedling,long_rains,Nakuru,sandy,24.9,187.0,medium,none,pest_control,0,high
cabbage,2025-10-24,4,seedling,short_rains,Eldoret,loamy,15.3,139.5,high,none,pest_control,0,high
potatoes,2025-08-13,76,fruiting,short_rains,Nairobi,clay,22.9,167.4,medium,none,pest_control,0,high
tomatoes,2025-10-28,0,seedling,long_rains,Eldoret,sandy,26.3,125.0,low,none,planting,0,high
maize,2025-09-26,32,vegetative,short_rains,Nakuru,silty,24.5,74.4,none,high,disease_management,0,high
cabbage,2025-09-09,49,fruiting,short_rains,Eldoret,peaty,17.2,72.1,none,low,weeding,7,low
potatoes,2025-07-21,99,mature,short_rains,Nakuru,silty,21.2,120.4,low,low,harvesting,1,high
tomatoes,2025-07-28,92,mature,long_rains,Meru,loamy,19.0,81.6,high,none,pest_control,0,high
maize,2025-06-09,141,mature,long_rains,Nakuru,peaty,28.3,195.2,none,low,harvesting,0,high
potatoes,2025-06-27,123,mature,short_rains,Kisumu,loamy,21.8,172.9,medium,low,pest_control,0,high
maize,2025-06-29,121,mature,short_rains,Eldoret,clay,29.9,195.0,low,none,harvesting,0,high
wheat,2025-05-31,150,mature,long_rains,Machakos,sandy,21.6,90.9,high,low,pest_control,0,high
beans,2025-10-17,11,seedling,short_rains,Meru,clay,19.1,72.3,medium,medium,pest_control,0,high
maize,2025-07-23,97,fruiting,short_rains,Meru,sandy,25.6,131.5,medium,medium,pest_control,0,high
wheat,2025-07-24,96,fruiting,long_rains,Meru,peaty,18.0,115.8,low,none,fertilizer_application,5,medium
maize,2025-08-15,74,flowering,long_rains,Nakuru,chalky,26.2,154.1,high,high,pest_control,0,high
potatoes,2025-10-23,5,seedling,short_rains,Eldoret,sandy,15.3,80.1,none,low,irrigation,0,high
kale,2025-08-04,85,mature,long_rains,Eldoret,sandy,24.6,70.1,low,none,harvesting,0,high
cabbage,2025-08-13,76,mature,short_rains,Kiambu,silty,22.4,126.7,low,medium,disease_management,0,high
maize,2025-07-10,110,fruiting,long_rains,Nairobi,loamy,27.8,59.2,none,high,disease_management,0,high
tomatoes,2025-07-26,94,mature,long_rains,Kisumu,clay,22.0,181.3,high,none,pest_control,0,high
potatoes,2025-07-05,115,mature,short_rains,Meru,sandy,21.4,84.7,medium,medium,pest_control,0,high
wheat,2025-08-19,70,flowering,long_rains,Meru,chalky,15.3,117.7,none,high,disease_management,0,high
maize,2025-06-23,127,mature,long_rains,Meru,sandy,28.0,119.8,none,low,harvesting,0,high
maize,2025-07-16,104,fruiting,short_rains,Kisumu,peaty,26.4,152.5,none,medium,disease_management,0,high
cabbage,2025-08-02,87,mature,short_rains,Machakos,sandy,22.5,147.7,medium,medium,pest_control,0,high
beans,2025-08-07,82,fruiting,long_rains,Kisumu,silty,21.0,59.6,low,high,disease_management,0,high
beans,2025-08-07,82,fruiting,long_rains,Meru,clay,23.4,183.4,high,low,pest_control,0,high
beans,2025-08-09,80,fruiting,long_rains,Kisumu,clay,26.1,163.3,low,high,disease_management,0,high
wheat,2025-05-31,150,mature,long_rains,Kisumu,peaty,21.9,59.9,high,none,pest_control,0,high
maize,2025-09-01,57,vegetative,short_rains,Kiambu,sandy,24.7,169.1,medium,medium,pest_control,0,high
maize,2025-09-05,53,vegetative,short_rains,Meru,silty,23.6,184.8,none,none,weeding,3,medium
maize,2025-09-24,34,vegetative,short_rains,Machakos,silty,29.9,137.6,low,medium,disease_management,0,high
wheat,2025-06-22,128,mature,long_rains,Eldoret,sandy,23.7,108.0,low,low,harvesting,2,high
beans,2025-10-06,22,vegetative,long_rains,Meru,clay,20.4,69.5,high,none,pest_control,0,high
potatoes,2025-09-29,29,vegetative,short_rains,Nakuru,clay,20.9,166.2,low,high,disease_management,0,high
potatoes,2025-07-14,106,mature,short_rains,Meru,peaty,21.2,178.3,high,low,pest_control,0,high
potatoes,2025-09-20,38,vegetative,short_rains,Eldoret,clay,22.3,156.0,none,medium,disease_management,0,high
cabbage,2025-09-17,41,flowering,short_rains,Kisumu,chalky,15.0,81.3,medium,low,pest_control,0,high
kale,2025-09-07,51,fruiting,short_rains,Kiambu,chalky,24.4,151.9,medium,medium,pest_control,0,high
cabbage,2025-10-11,17,vegetative,short_rains,Nairobi,chalky,21.1,162.0,medium,low,pest_control,0,high
wheat,2025-07-06,114,fruiting,long_rains,Nairobi,loamy,17.4,88.0,medium,none,pest_control,0,high
tomatoes,2025-10-13,15,vegetative,long_rains,Meru,clay,25.7,99.6,high,high,pest_control,0,high
wheat,2025-09-06,52,vegetative,long_rains,Nairobi,clay,17.4,59.5,high,none,pest_control,0,high
cabbage,2025-09-04,54,fruiting,short_rains,Kisumu,peaty,21.4,162.7,low,low,weeding,2,medium
maize,2025-06-18,132,mature,long_rains,Nairobi,sandy,26.7,180.8,medium,medium,pest_control,0,high
potatoes,2025-08-09,80,fruiting,short_rains,Machakos,loamy,20.9,67.8,high,high,pest_control,0,high
maize,2025-10-12,16,seedling,short_rains,Machakos,silty,20.3,152.0,high,low,pest_control,0,high
beans,2025-09-20,38,vegetative,short_rains,Eldoret,loamy,26.9,176.0,high,high,pest_control,0,high
maize,2025-07-17,103,fruiting,short_rains,Machakos,clay,20.8,185.9,medium,medium,pest_control,0,high
wheat,2025-06-08,142,mature,long_rains,Nakuru,sandy,23.7,135.5,high,low,pest_control,0,high
beans,2025-10-20,8,seedling,long_rains,Eldoret,chalky,25.0,119.6,none,none,irrigation,0,high
tomatoes,2025-09-03,55,fruiting,long_rains,Eldoret,sandy,22.3,185.0,medium,high,pest_control,0,high
cabbage,2025-09-02,56,fruiting,short_rains,Nairobi,chalky,20.6,104.4,low,none,weeding,0,high
potatoes,2025-07-11,109,mature,short_rains,Kiambu,loamy,20.6,69.2,high,none,pest_control,0,high
beans,2025-10-28,0,seedling,long_rains,Nairobi,clay,25.3,57.0,high,high,pest_control,0,high
kale,2025-08-11,78,mature,short_rains,Machakos,silty,19.1,89.6,low,low,harvesting,0,high
potatoes,2025-06-25,125,mature,short_rains,Kiambu,clay,20.8,168.4,none,low,harvesting,0,high
kale,2025-09-17,41,flowering,short_rains,Meru,clay,20.1,155.9,medium,medium,pest_control,0,high
maize,2025-06-07,143,mature,short_rains,Eldoret,silty,24.0,135.2,medium,high,pest_control,0,high
potatoes,2025-08-20,69,flowering,short_rains,Machakos,peaty,20.2,159.4,medium,low,pest_control,0,high
maize,2025-06-19,131,mature,long_rains,Machakos,silty,24.2,194.0,high,high,pest_control,0,high
tomatoes,2025-10-27,1,seedling,long_rains,Kisumu,chalky,25.1,161.0,none,medium,disease_management,0,high
cabbage,2025-07-21,99,mature,short_rains,Kisumu,chalky,17.8,108.1,low,high,disease_management,0,high
maize,2025-10-16,12,seedling,short_rains,Machakos,peaty,28.5,77.8,low,low,irrigation,0,high
kale,2025-08-01,88,mature,dry_season,Machakos,sandy,24.6,37.1,medium,medium,pest_control,0,high
kale,2025-08-17,72,mature,long_rains,Eldoret,silty,23.8,72.4,high,medium,pest_control,0,high
maize,2025-09-04,54,vegetative,long_rains,Eldoret,clay,24.0,145.8,medium,medium,pest_control,0,high
kale,2025-08-09,80,mature,long_rains,Kiambu,clay,15.9,112.1,low,high,disease_management,0,high
cabbage,2025-08-01,88,mature,short_rains,Eldoret,chalky,22.4,164.6,medium,medium,pest_control,0,high
maize,2025-09-07,51,vegetative,short_rains,Machakos,clay,20.0,138.9,none,high,disease_management,0,high
potatoes,2025-10-16,12,seedling,short_rains,Machakos,silty,18.1,53.8,none,low,irrigation,0,high
beans,2025-09-18,40,vegetative,long_rains,Machakos,loamy,24.3,144.9,none,high,disease_management,0,high
beans,2025-06-30,120,mature,short_rains,Nakuru,chalky,21.8,97.0,low,high,disease_management,0,high
maize,2025-06-27,123,mature,short_rains,Eldoret,chalky,26.9,137.5,none,high,disease_management,0,high
potatoes,2025-08-05,84,fruiting,short_rains,Kiambu,peaty,20.9,106.5,medium,low,pest_control,0,high
potatoes,2025-09-19,39,vegetative,short_rains,Machakos,sandy,20.5,119.8,low,medium,disease_management,0,high
cabbage,2025-08-29,60,fruiting,short_rains,Nairobi,clay,13.5,187.9,medium,medium,pest_control,0,high
kale,2025-09-28,30,flowering,long_rains,Nakuru,loamy,24.6,103.2,high,low,pest_control,0,high
beans,2025-08-10,79,fruiting,short_rains,Eldoret,silty,24.3,172.2,low,low,irrigation,3,medium
wheat,2025-10-17,11,seedling,long_rains,Kiambu,peaty,18.2,55.9,high,medium,pest_control,0,high
beans,2025-10-12,16,seedling,short_rains,Kisumu,silty,21.2,107.5,high,medium,pest_control,0,high
beans,2025-08-02,87,mature,long_rains,Kiambu,loamy,23.0,121.2,low,medium,disease_management,0,high
beans,2025-07-12,108,mature,long_rains,Kisumu,chalky,20.1,79.1,high,high,pest_control,0,high
maize,2025-09-16,42,vegetative,long_rains,Eldoret,silty,21.3,147.9,none,medium,disease_management,0,high
potatoes,2025-09-19,39,vegetative,short_rains,Meru,clay,15.1,198.1,none,medium,disease_management,0,high
beans,2025-08-31,58,flowering,long_rains,Machakos,peaty,18.9,128.1,none,low,disease_management,0,high
kale,2025-08-04,85,mature,short_rains,Nairobi,peaty,16.4,196.1,medium,low,pest_control,0,high
tomatoes,2025-10-17,11,seedling,long_rains,Meru,loamy,20.3,118.1,high,low,pest_control,0,high
potatoes,2025-08-15,74,fruiting,short_rains,Meru,peaty,17.0,112.0,none,medium,disease_management,0,high
tomatoes,2025-10-03,25,vegetative,long_rains,Machakos,chalky,19.7,80.0,medium,medium,pest_control,0,high
wheat,2025-07-17,103,fruiting,long_rains,Meru,sandy,22.7,122.3,medium,none,pest_control,0,high
potatoes,2025-10-02,26,vegetative,short_rains,Meru,silty,21.3,120.2,high,medium,pest_control,0,high
wheat,2025-05-29,152,mature,long_rains,Kisumu,silty,20.2,162.2,none,none,harvesting,0,high
tomatoes,2025-10-09,19,vegetative,long_rains,Kisumu,silty,26.0,147.4,low,none,pest_control,2,medium
beans,2025-09-14,44,vegetative,long_rains,Kisumu,sandy,22.0,182.5,medium,high,pest_control,0,high
wheat,2025-06-29,121,fruiting,long_rains,Eldoret,peaty,20.6,123.3,low,none,soil_testing,0,high
cabbage,2025-10-25,3,seedling,short_rains,Meru,clay,21.7,196.7,low,none,planting,0,high
kale,2025-08-23,66,mature,short_rains,Eldoret,peaty,18.5,163.3,high,low,pest_control,0,high
wheat,2025-09-04,54,vegetative,long_rains,Kiambu,peaty,21.4,134.0,low,medium,disease_management,0,high
potatoes,2025-08-19,70,fruiting,short_rains,Kiambu,clay,19.4,186.5,none,high,disease_management,0,high
beans,2025-07-09,111,mature,long_rains,Nakuru,peaty,19.2,61.8,none,none,harvesting,0,high
tomatoes,2025-07-21,99,mature,long_rains,Nakuru,chalky,25.0,72.7,none,medium,disease_management,0,high
kale,2025-10-18,10,seedling,short_rains,Kiambu,chalky,20.0,94.0,medium,none,pest_control,0,high
kale,2025-08-07,82,mature,long_rains,Eldoret,peaty,22.1,129.6,none,high,disease_management,0,high
kale,2025-08-12,77,mature,long_rains,Machakos,silty,17.2,98.7,none,none,harvesting,0,high
wheat,2025-10-21,7,seedling,long_rains,Nairobi,loamy,20.8,98.1,none,high,disease_management,0,high
maize,2025-10-21,7,seedling,short_rains,Nakuru,silty,25.2,108.3,high,medium,pest_control,0,high
wheat,2025-09-27,31,vegetative,long_rains,Meru,peaty,17.6,73.2,high,none,pest_control,0,high
potatoes,2025-09-19,39,vegetative,short_rains,Meru,peaty,22.2,127.4,low,low,pest_control,3,medium
wheat,2025-06-15,135,mature,long_rains,Nakuru,loamy,19.1,134.0,none,low,harvesting,0,high
beans,2025-10-17,11,seedling,short_rains,Nakuru,silty,19.1,164.0,none,high,disease_management,0,high
wheat,2025-08-25,64,vegetative,long_rains,Kisumu,loamy,22.4,185.6,none,low,pest_control,0,high
wheat,2025-06-28,122,fruiting,long_rains,Eldoret,sandy,21.8,173.9,medium,medium,pest_control,0,high
potatoes,2025-10-12,16,seedling,short_rains,Nairobi,loamy,18.9,158.5,high,medium,pest_control,0,high
kale,2025-09-23,35,flowering,dry_season,Nakuru,clay,18.4,34.2,none,none,weeding,0,high
potatoes,2025-08-07,82,fruiting,short_rains,Kisumu,sandy,17.0,66.8,high,none,pest_control,0,high
tomatoes,2025-09-22,36,vegetative,long_rains,Kisumu,peaty,25.6,122.5,none,none,weeding,0,high
beans,2025-07-01,119,mature,short_rains,Kisumu,loamy,19.2,197.7,low,none,harvesting,0,high
beans,2025-08-20,69,fruiting,long_rains,Meru,loamy,18.1,147.3,none,none,fertilizer_application,7,medium
wheat,2025-10-16,12,seedling,long_rains,Meru,peaty,23.6,97.2,medium,medium,pest_control,0,high
potatoes,2025-09-29,29,vegetative,short_rains,Kiambu,silty,19.4,128.4,low,high,disease_management,0,high
wheat,2025-05-24,157,mature,long_rains,Meru,sandy,22.5,178.5,low,medium,disease_management,0,high
cabbage,2025-10-17,11,seedling,short_rains,Meru,peaty,20.3,129.7,high,high,pest_control,0,high
maize,2025-07-02,118,mature,short_rains,Eldoret,clay,27.4,137.4,low,low,harvesting,2,high
kale,2025-10-10,18,vegetative,long_rains,Meru,sandy,21.9,83.0,none,low,pest_control,3,medium
cabbage,2025-10-02,26,vegetative,short_rains,Nairobi,clay,19.4,116.1,medium,medium,pest_control,0,high
tomatoes,2025-08-16,73,mature,long_rains,Nairobi,peaty,22.4,139.9,none,medium,disease_management,0,high
wheat,2025-06-15,135,mature,long_rains,Nairobi,sandy,23.7,116.7,low,none,harvesting,0,high
tomatoes,2025-07-30,90,mature,long_rains,Eldoret,chalky,22.1,57.6,medium,low,pest_control,0,high
cabbage,2025-10-08,20,vegetative,short_rains,Kiambu,peaty,17.0,160.2,high,high,pest_control,0,high
cabbage,2025-08-12,77,mature,short_rains,Kiambu,clay,13.2,109.0,none,low,harvesting,0,high
tomatoes,2025-08-26,63,fruiting,long_rains,Nakuru,sandy,27.8,187.1,high,none,pest_control,0,high
beans,2025-08-26,63,fruiting,short_rains,Kisumu,peaty,25.5,179.3,none,high,disease_management,0,high
wheat,2025-10-01,27,vegetative,long_rains,Kiambu,peaty,24.6,87.3,none,low,disease_management,1,medium
wheat,2025-07-19,101,fruiting,long_rains,Kiambu,chalky,16.3,172.9,none,low,fertilizer_application,7,medium
beans,2025-08-27,62,flowering,short_rains,Kiambu,clay,18.4,64.4,low,none,fertilizer_application,0,high
tomatoes,2025-07-30,90,mature,long_rains,Kisumu,clay,23.1,165.1,none,medium,disease_management,0,high
cabbage,2025-07-21,99,mature,short_rains,Meru,sandy,15.2,175.4,medium,low,pest_control,0,high
kale,2025-10-16,12,vegetative,dry_season,Kisumu,chalky,19.4,17.8,none,low,irrigation,0,high
beans,2025-09-29,29,vegetative,long_rains,Nairobi,peaty,22.3,137.5,none,high,disease_management,0,high
kale,2025-08-11,78,mature,long_rains,Eldoret,peaty,22.6,63.4,none,high,disease_management,0,high
maize,2025-10-05,23,seedling,short_rains,Kisumu,chalky,24.2,175.4,medium,low,pest_control,0,high
maize,2025-09-09,49,vegetative,short_rains,Nairobi,sandy,22.9,168.5,medium,none,pest_control,0,high
maize,2025-07-24,96,fruiting,short_rains,Kisumu,chalky,29.1,108.6,none,high,disease_management,0,high
beans,2025-10-28,0,seedling,short_rains,Meru,clay,17.6,118.6,high,medium,pest_control,0,high
kale,2025-10-07,21,vegetative,dry_season,Kisumu,silty,23.0,32.9,medium,low,pest_control,0,high
beans,2025-08-25,64,fruiting,short_rains,Kiambu,loamy,17.6,137.4,none,none,pest_control,0,high
tomatoes,2025-07-30,90,mature,long_rains,Kiambu,silty,22.9,164.5,high,low,pest_control,0,high
potatoes,2025-09-06,52,flowering,short_rains,Nairobi,clay,16.4,51.1,high,medium,pest_control,0,high
potatoes,2025-09-28,30,vegetative,short_rains,Meru,clay,13.0,195.9,high,medium,pest_control,0,high
wheat,2025-10-12,16,seedling,long_rains,Meru,sandy,23.7,152.7,high,medium,pest_control,0,high
tomatoes,2025-10-09,19,vegetative,long_rains,Meru,loamy,19.3,110.4,low,high,disease_management,0,high
beans,2025-08-22,67,fruiting,long_rains,Kisumu,loamy,23.1,139.8,high,high,pest_control,0,high
maize,2025-08-20,69,flowering,long_rains,Kisumu,clay,24.4,95.2,high,low,pest_control,0,high
wheat,2025-08-23,66,flowering,long_rains,Nakuru,peaty,16.3,70.1,none,none,pest_control,0,high
wheat,2025-09-05,53,vegetative,long_rains,Meru,loamy,21.9,100.4,high,low,pest_control,0,high
beans,2025-09-27,31,vegetative,long_rains,Kisumu,peaty,23.4,161.7,low,high,disease_management,0,high
beans,2025-08-19,70,fruiting,short_rains,Nakuru,sandy,25.9,198.5,low,medium,disease_management,0,high
kale,2025-09-12,46,fruiting,dry_season,Meru,silty,22.5,42.5,low,low,fertilizer_application,5,medium
tomatoes,2025-09-10,48,flowering,long_rains,Kisumu,silty,20.6,187.9,high,low,pest_control,0,high
beans,2025-07-21,99,mature,long_rains,Kisumu,silty,22.7,63.2,high,none,pest_control,0,high
tomatoes,2025-08-11,78,mature,long_rains,Nakuru,peaty,23.6,173.3,low,none,harvesting,0,high
tomatoes,2025-07-23,97,mature,long_rains,Meru,sandy,24.3,77.6,low,high,disease_management,0,high
wheat,2025-10-05,23,seedling,long_rains,Nakuru,silty,15.6,52.3,low,high,disease_management,0,high
tomatoes,2025-09-07,51,flowering,long_rains,Machakos,silty,23.3,155.6,medium,low,pest_control,0,high
beans,2025-08-02,87,mature,short_rains,Meru,loamy,18.8,74.0,medium,high,pest_control,0,high
wheat,2025-06-24,126,mature,long_rains,Eldoret,peaty,23.0,144.1,high,medium,pest_control,0,high
wheat,2025-10-20,8,seedling,long_rains,Nairobi,chalky,21.7,113.7,low,high,disease_management,0,high
maize,2025-10-06,22,seedling,long_rains,Kisumu,loamy,21.1,99.1,high,high,pest_control,0,high
kale,2025-08-12,77,mature,long_rains,Eldoret,silty,19.8,117.7,medium,medium,pest_control,0,high
beans,2025-10-08,20,vegetative,long_rains,Machakos,chalky,18.4,188.8,medium,medium,pest_control,0,high
tomatoes,2025-08-22,67,fruiting,long_rains,Eldoret,clay,23.9,152.4,low,high,disease_management,0,high
tomatoes,2025-10-09,19,vegetative,long_rains,Meru,peaty,26.1,51.6,none,high,disease_management,0,high
maize,2025-07-10,110,fruiting,long_rains,Kisumu,silty,21.5,195.7,medium,low,pest_control,0,high
potatoes,2025-07-06,114,mature,short_rains,Machakos,sandy,13.5,190.7,high,high,pest_control,0,high
beans,2025-10-07,21,vegetative,long_rains,Nairobi,silty,17.5,137.5,low,none,pest_control,0,high
potatoes,2025-07-30,90,fruiting,short_rains,Eldoret,sandy,18.3,161.5,none,medium,disease_management,0,high
potatoes,2025-07-10,110,mature,short_rains,Meru,silty,21.8,191.3,low,none,harvesting,0,high
maize,2025-05-31,150,mature,long_rains,Nairobi,clay,29.3,128.9,high,medium,pest_control,0,high
potatoes,2025-08-22,67,flowering,short_rains,Kisumu,sandy,20.1,190.5,high,low,pest_control,0,high
maize,2025-10-02,26,vegetative,long_rains,Nakuru,loamy,27.2,101.0,none,low,disease_management,2,medium
kale,2025-09-29,29,vegetative,short_rains,Kiambu,peaty,16.7,158.9,low,high,disease_management,0,high
wheat,2025-05-27,154,mature,long_rains,Nakuru,sandy,23.5,193.7,medium,medium,pest_control,0,high
beans,2025-09-27,31,vegetative,short_rains,Meru,silty,19.6,172.5,medium,high,pest_control,0,high
beans,2025-09-15,43,vegetative,short_rains,Kiambu,sandy,23.6,197.6,none,medium,disease_management,0,high
potatoes,2025-08-17,72,fruiting,short_rains,Meru,peaty,16.6,160.1,low,none,irrigation,5,medium
tomatoes,2025-09-17,41,flowering,long_rains,Kisumu,sandy,25.5,191.2,none,medium,disease_management,0,high
wheat,2025-10-24,4,seedling,long_rains,Machakos,sandy,18.3,176.5,high,none,pest_control,0,high
maize,2025-06-05,145,mature,short_rains,Kiambu,sandy,25.5,94.8,none,high,disease_management,0,high
beans,2025-10-05,23,vegetative,long_rains,Kiambu,loamy,25.9,56.3,medium,none,pest_control,0,high
maize,2025-08-29,60,flowering,long_rains,Nakuru,chalky,24.5,193.1,none,high,disease_management,0,high
wheat,2025-09-28,30,vegetative,long_rains,Machakos,chalky,17.7,177.2,medium,high,pest_control,0,high
beans,2025-08-03,86,mature,short_rains,Kiambu,loamy,23.2,79.5,none,high,disease_management,0,high
beans,2025-09-02,56,flowering,short_rains,Eldoret,sandy,21.1,59.8,none,medium,disease_management,0,high
potatoes,2025-10-22,6,seedling,short_rains,Kisumu,chalky,21.6,125.7,medium,high,pest_control,0,high
maize,2025-10-05,23,seedling,long_rains,Nairobi,clay,24.2,195.1,low,high,disease_management,0,high
potatoes,2025-09-29,29,vegetative,short_rains,Meru,silty,17.0,70.7,none,low,irrigation,0,high
potatoes,2025-10-05,23,vegetative,short_rains,Nakuru,loamy,22.6,194.8,low,medium,disease_management,0,high
beans,2025-09-03,55,flowering,long_rains,Meru,peaty,25.3,164.2,medium,none,pest_control,0,high
wheat,2025-08-16,73,flowering,long_rains,Nairobi,sandy,19.4,50.5,low,high,disease_management,0,high
beans,2025-08-22,67,fruiting,short_rains,Meru,peaty,20.4,143.4,none,high,disease_management,0,high
cabbage,2025-08-08,81,mature,short_rains,Kisumu,clay,13.7,95.4,low,medium,disease_management,0,high
tomatoes,2025-08-12,77,mature,long_rains,Machakos,silty,24.0,114.4,none,medium,disease_management,0,high
tomatoes,2025-09-15,43,flowering,long_rains,Machakos,silty,28.4,117.7,high,high,pest_control,0,high
